 aqi, level, so2, no2, co, o3, pm10, pm2_5
144,3,3,22,0.6,208,85,32
135,3,5,16,0.7,198,45,36
85,2,3,13,0.9,142,42,27
37,1,5,19,0.5,73,23,11
94,2,5,22,0.7,134,138,51
54,2,6,12,0.5,104,26,11
40,1,10,21,1.1,79,31,27
48,1,7,13,0.5,96,31,13
107,3,4,35,1,79,77,80
87,2,27,40,1,72,92,64
95,2,3,11,0.5,153,22,13
95,2,61,57,1.2,57,124,71
32,1,6,15,0.5,64,31,19
107,3,18,38,1.2,31,83,80
27,1,5,13,0.6,53,14,5
72,2,5,49,0.8,60,93,46
53,2,17,28,1,38,56,33
100,2,8,42,0.9,160,56,37
75,2,8,15,0.7,129,75,46
63,2,3,6,0.3,59,75,10
28,1,5,12,0.5,55,23,7
65,2,10,19,0.7,117,60,32
38,1,17,15,0.5,75,32,18
123,3,6,26,1,185,44,35
112,3,56,61,1.4,96,141,84
94,2,7,23,0.6,152,53,26
32,1,6,24,0.6,30,32,17
28,1,5,10,0.4,56,28,12
75,2,8,15,0.7,129,75,46
44,1,6,22,0.6,39,44,22
48,1,6,28,0.6,85,48,23
123,3,3,15,0.8,185,34,32
76,2,3,27,0.5,131,56,21
25,1,9,19,0.6,24,25,15
45,1,6,15,0.5,89,21,8
87,2,3,14,0.7,144,40,22
48,1,10,17,0.7,77,48,28
71,2,9,21,0.7,108,91,49
96,2,10,29,0.9,155,114,68
34,1,6,12,0.7,67,16,6
118,3,5,18,0.9,179,70,52
55,2,7,15,0.6,106,48,25
49,1,5,24,1.1,87,39,34
113,3,2,15,0.6,174,37,15
32,1,8,25,0.6,38,23,13
89,2,3,13,0.6,146,37,23
146,3,11,33,1.2,210,75,44
55,2,3,21,0.5,106,37,24
92,2,4,40,0.5,149,133,55
44,1,6,22,0.6,39,44,22
38,1,12,16,0.7,62,38,25
32,1,10,12,0.5,64,30,11
26,1,6,13,0.6,37,26,14
55,2,5,32,0.7,55,59,26
46,1,12,25,0.9,35,46,28
28,1,7,17,0.7,46,28,15
113,3,33,55,1.8,48,122,85
55,2,2,18,0.3,106,45,13
28,1,8,17,0.7,48,28,16
26,1,13,15,0.7,52,22,15
72,2,8,14,0.7,126,80,47
51,2,5,16,0.6,84,51,26
32,1,10,16,0.6,61,32,18
29,1,8,16,0.7,57,24,13
51,2,4,27,0.6,53,52,22
60,2,4,42,0.8,65,66,43
73,2,6,18,0.4,118,96,39
67,2,6,24,0.4,120,55,19
46,1,16,23,0.9,29,46,29
99,2,3,14,0.8,158,48,25
107,3,3,20,0.7,167,54,29
51,2,5,19,0.5,101,36,16
127,3,9,35,1.2,189,64,49
60,2,5,34,1.3,90,50,43
86,2,3,25,0.5,143,46,24
56,2,10,29,0.6,107,54,19
85,2,3,17,0.5,141,39,17
62,2,7,15,0.6,114,64,33
42,1,3,20,0.8,83,30,25
83,2,2,34,0.4,139,62,20
83,2,24,41,1.5,96,82,61
29,1,5,11,0.5,56,29,13
86,2,4,43,0.5,82,121,38
44,1,10,12,0.7,88,28,16
29,1,6,10,0.3,57,23,6
59,2,7,14,0.6,110,37,21
139,3,7,21,0.5,71,227,51
105,3,3,21,0.8,165,48,38
72,2,5,22,0.6,126,45,21
59,2,10,31,0.8,69,67,31
32,1,6,15,0.5,63,23,11
89,2,2,18,0.6,146,37,20
54,2,16,13,0.7,84,49,38
33,1,5,14,0.4,66,28,14
61,2,3,18,0.5,113,33,15
35,1,14,24,0.9,21,35,18
142,3,2,17,0.7,206,56,28
80,2,27,49,1,55,82,59
62,2,3,19,0.9,114,42,34
91,2,2,23,0.5,149,36,16
100,2,13,52,1.3,85,108,75
33,1,5,22,0.5,66,26,13
30,1,6,10,0.4,60,22,7
65,2,5,35,0.5,110,80,38
49,1,6,20,0.6,97,36,17
35,1,16,17,0.7,54,35,24
55,2,10,29,0.6,105,47,20
52,2,2,25,0.6,102,48,21
55,2,15,18,0.6,68,60,35
60,2,7,18,0.6,109,69,33
65,2,7,24,0.6,117,42,24
58,2,7,26,0.6,102,65,31
69,2,8,20,0.6,122,32,15
130,3,8,25,1.1,193,78,45
122,3,12,38,1.2,184,71,50
83,2,2,23,0.7,39,54,61
103,3,4,23,0.7,163,35,26
66,2,3,16,0.5,119,31,15
34,1,6,12,0.7,67,16,6
57,2,5,35,0.6,56,63,35
60,2,21,29,0.8,70,70,43
35,1,10,15,0.8,46,35,23
64,2,15,25,1,39,65,46
32,1,10,9,0.5,61,31,22
87,2,4,30,0.9,144,40,41
78,2,23,31,0.9,72,81,57
69,2,2,16,0.4,78,88,29
100,2,10,40,0.9,131,94,75
35,1,8,18,0.5,65,35,19
86,2,11,28,0.9,142,121,37
113,3,3,40,0.5,94,176,53
44,1,12,20,0.6,61,44,27
20,1,5,13,0.5,40,19,7
45,1,10,19,0.8,44,43,31
114,3,3,21,0.3,73,177,37
90,2,14,28,0.8,99,129,52
64,2,5,42,1.1,30,72,46
78,2,2,28,0.4,133,49,15
37,1,5,29,0.7,37,29,19
70,2,2,17,0.5,123,27,11
36,1,6,17,0.5,72,26,12
80,2,6,24,1,113,61,59
62,2,16,22,1,58,62,44
105,3,3,40,1,61,77,79
82,2,3,19,0.6,138,36,23
64,2,13,23,0.8,103,69,46
27,1,6,19,0.5,53,26,12
35,1,6,13,0.4,69,29,11
26,1,8,18,0.6,47,26,14
120,3,7,35,0.8,182,51,32
75,2,25,17,0.6,75,70,55
116,3,15,38,1.2,177,56,33
77,2,5,20,0.6,132,48,24
67,2,13,25,0.9,41,62,48
109,3,5,19,0.7,169,37,28
61,2,6,26,0.6,113,54,26
33,1,6,18,0.6,65,32,19
126,3,10,31,0.8,119,202,66
113,3,70,62,1.5,77,158,85
31,1,6,13,0.5,56,31,14
42,1,14,16,0.5,52,42,27
63,2,9,20,0.6,115,49,29
60,2,15,31,0.7,66,70,26
28,1,5,10,0.4,55,13,4
32,1,6,13,0.5,64,20,6
99,2,28,43,1,75,111,74
58,2,7,26,0.6,102,65,31
61,2,10,22,0.9,113,61,36
65,2,35,37,0.8,71,80,42
125,3,11,25,1.6,101,93,95
26,1,6,14,0.5,47,26,11
97,2,21,51,1.5,100,110,72
128,3,68,57,2,34,129,97
117,3,3,13,0.7,178,36,22
103,3,7,27,1.4,53,62,77
95,2,6,24,1,153,44,31
94,2,8,22,0.7,145,137,52
64,2,7,33,0.7,103,77,40
85,2,29,37,0.9,92,119,62
93,2,14,49,1.3,108,94,69
65,2,11,22,0.9,78,80,41
33,1,6,22,0.7,62,33,18
75,2,2,14,0.3,130,32,8
66,2,30,35,0.8,48,81,46
78,2,10,26,0.8,133,77,30
37,1,3,12,0.5,74,6,4
75,2,25,17,0.6,75,70,55
42,1,3,17,0.6,83,24,13
31,1,2,20,0.4,61,16,11
41,1,8,25,0.6,53,41,22
83,2,16,31,0.9,30,83,61
105,3,14,38,2,86,81,79
62,2,3,27,0.7,54,52,44
26,1,6,15,0.5,51,25,14
104,3,5,52,1.2,34,95,78
44,1,6,14,0.4,87,30,14
86,2,3,18,0.5,143,53,27
75,2,7,24,0.6,130,46,20
23,1,8,11,0.5,46,19,12
54,2,6,20,0.5,104,30,11
98,2,11,26,0.8,157,128,71
82,2,3,12,0.4,138,27,12
48,1,10,17,0.7,77,48,28
48,1,10,20,0.7,66,42,33
38,1,15,21,0.8,48,38,25
32,1,9,24,0.9,10,32,18
33,1,7,13,0.5,66,18,8
22,1,9,15,0.8,28,22,11
60,2,4,30,0.4,106,70,30
114,3,24,38,0.8,111,177,53
138,3,6,21,0.6,201,44,26
23,1,8,11,0.5,46,19,12
56,2,11,16,0.3,73,62,20
46,1,4,23,1.2,46,32,32
42,1,12,23,0.8,27,42,24
49,1,6,19,0.5,98,39,18
81,2,10,26,1.1,137,58,48
84,2,4,31,0.5,140,68,40
53,2,13,26,0.8,32,55,36
22,1,10,17,0.6,25,21,12
38,1,6,19,0.6,73,38,21
127,3,13,22,0.5,71,203,46
54,2,3,12,0.6,104,26,25
30,1,5,24,0.6,39,16,8
