 aqi, level, so2, no2, co, o3, pm10, pm2_5
103,3,12,24,0.7,94,95,77
63,2,5,22,0.6,115,56,27
34,1,12,17,0.6,68,34,23
78,2,11,28,0.7,133,40,22
32,1,6,15,0.5,63,23,11
74,2,9,23,0.6,128,39,22
46,1,12,25,0.9,35,46,28
73,2,9,37,0.9,87,69,53
60,2,21,29,0.8,70,70,43
20,1,5,13,0.5,40,19,7
72,2,5,22,0.6,126,45,21
107,3,10,52,1,27,109,80
31,1,6,11,0.4,62,22,8
98,2,9,26,0.6,157,43,24
88,2,6,24,0.6,145,54,26
45,1,10,19,0.8,44,43,31
53,2,14,25,0.8,51,56,36
53,2,8,34,0.8,27,51,37
103,3,9,44,0.9,43,103,77
122,3,10,48,1.1,22,123,92
70,2,9,37,0.9,58,68,51
47,1,6,19,0.6,94,40,22
31,1,12,20,0.9,26,31,19
63,2,9,20,0.6,115,49,29
72,2,20,28,0.9,81,77,52
44,1,6,11,0.5,88,31,14
48,1,7,13,0.5,96,31,13
99,2,28,43,1,75,111,74
39,1,6,24,0.6,50,39,24
24,1,10,14,0.6,48,20,9
52,2,16,22,0.8,53,53,33
65,2,9,29,0.7,118,52,27
53,2,18,22,0.7,61,51,37
90,2,10,42,0.8,19,89,67
59,2,9,38,0.7,99,67,36
27,1,6,16,0.6,53,17,8
35,1,16,17,0.7,54,35,24
100,2,8,42,0.6,159,54,22
72,2,18,33,1,33,73,52
88,2,8,38,0.9,54,88,65
72,2,10,29,0.7,126,32,16
33,1,5,13,0.5,66,29,13
42,1,14,16,0.5,52,42,27
69,2,11,45,0.9,60,79,50
49,1,18,24,0.9,42,49,31
90,2,10,38,0.8,24,91,67
54,2,8,19,0.6,74,58,30
95,2,32,49,1,73,114,71
45,1,6,15,0.5,89,21,8
27,1,7,21,0.6,37,21,11
35,1,5,11,0.4,70,31,13
75,2,7,24,0.6,130,46,20
32,1,6,15,0.5,64,31,19
38,1,6,19,0.6,73,38,21
30,1,6,10,0.4,60,22,7
26,1,6,15,0.4,52,25,9
120,3,14,59,1,19,131,91
32,1,10,9,0.5,61,31,22
35,1,14,21,0.8,28,35,20
63,2,9,22,0.6,115,39,25
65,2,10,29,0.8,98,79,44
77,2,30,21,0.7,80,79,56
75,2,9,23,0.7,129,45,27
69,2,11,47,0.7,59,85,50
69,2,8,20,0.6,122,32,15
44,1,6,12,0.5,88,29,11
55,2,9,27,0.8,105,30,16
148,3,13,67,1.1,28,158,113
60,2,9,18,0.6,111,29,16
51,2,5,16,0.6,84,51,26
55,2,15,18,0.6,68,60,35
51,2,12,37,0.8,60,51,30
55,2,9,28,0.7,106,47,32
66,2,8,26,0.6,119,29,16
28,1,8,17,0.7,48,28,16
56,2,9,34,0.7,107,41,23
93,2,11,48,0.9,44,105,69
48,1,10,17,0.7,77,48,28
37,1,16,13,0.6,73,33,24
52,2,10,33,0.6,63,54,29
81,2,5,22,0.5,137,50,21
35,1,15,20,0.8,42,35,20
52,2,12,32,0.9,101,54,33
55,2,9,22,0.6,105,30,16
52,2,23,22,0.6,86,54,32
88,2,9,22,0.7,87,85,65
53,2,9,42,0.7,36,56,37
63,2,39,42,1,61,75,39
51,2,5,19,0.5,101,36,16
26,1,6,15,0.5,51,25,14
55,2,7,15,0.6,106,48,25
57,2,7,20,0.6,108,24,15
33,1,5,14,0.4,66,28,14
103,3,13,42,0.9,27,103,77
25,1,10,20,0.9,25,21,12
57,2,7,24,0.6,45,63,26
33,1,7,15,0.5,65,25,12
54,2,7,28,0.6,51,58,28
64,2,8,43,1.1,15,67,46
31,1,11,23,0.9,19,31,20
36,1,6,13,0.5,72,30,12
62,2,16,22,1,58,62,44
32,1,6,24,0.6,30,32,17
73,2,9,29,0.7,127,34,19
115,3,10,25,0.6,176,41,22
39,1,6,13,0.5,77,30,14
54,2,9,26,0.6,104,40,22
25,1,5,12,0.4,49,24,7
60,2,9,31,0.6,111,43,26
32,1,5,19,0.5,64,28,12
88,2,8,18,0.8,117,110,65
80,2,5,19,0.6,135,40,20
21,1,6,13,0.7,33,21,10
75,2,16,57,0.9,41,100,46
39,1,5,13,0.4,78,26,10
55,2,7,21,0.5,106,42,19
82,2,21,34,1,61,92,60
56,2,8,34,0.8,20,61,33
98,2,11,26,0.8,157,128,71
58,2,11,41,0.8,78,65,36
77,2,58,50,1.1,72,104,49
54,2,9,43,0.8,83,55,37
63,2,10,20,0.7,109,70,45
35,1,8,18,0.5,65,35,19
73,2,34,42,0.8,67,85,53
30,1,10,21,0.8,59,23,12
75,2,25,17,0.6,75,70,55
40,1,13,11,0.5,79,31,20
98,2,26,36,0.9,61,100,73
53,2,17,28,1,38,56,33
27,1,5,14,0.5,54,18,6
64,2,13,23,0.8,103,69,46
58,2,10,45,0.8,98,65,40
30,1,11,24,1,48,30,21
38,1,17,15,0.5,75,32,18
32,1,10,16,0.6,61,32,18
39,1,8,21,0.7,58,39,19
33,1,7,13,0.5,66,18,8
32,1,8,15,0.9,18,32,18
30,1,6,12,0.4,60,25,10
60,2,7,18,0.6,109,69,33
37,1,5,29,0.7,37,29,19
54,2,7,18,0.7,72,57,32
47,1,8,14,0.6,86,47,31
69,2,9,37,0.8,32,76,50
21,1,5,15,0.6,41,19,8
57,2,10,32,0.7,108,42,26
140,3,11,30,0.7,204,51,27
87,2,27,40,1,72,92,64
46,1,5,13,0.5,91,27,10
22,1,10,17,0.6,25,21,12
38,1,7,18,0.4,76,31,13
28,1,5,12,0.4,56,18,7
66,2,30,35,0.8,48,81,46
