 aqi	 level	 so2_24h	 no2_24h	 co_24h	 o3_8h_24h	 pm10_24h	 pm2_5_24h
59	2	9	41	0.8	10	65	42
54	2	9	43	0.9	13	51	30
54	2	7	39	0.8	13	57	36
55	2	8	44	0.9	34	48	32
55	2	8	42	0.8	22	60	37
72	2	9	43	1	7	79	52
57	2	8	37	0.9	23	56	40
52	2	8	41	0.9	20	46	26
68	2	9	42	1	8	80	49
77	2	9	41	1.1	7	86	56
77	2	10	40	1	7	84	56
65	2	8	38	1	10	64	47
55	2	8	44	0.6	22	57	35
55	2	8	44	0.5	32	51	29
70	2	11	43	0.7	11	86	51
82	2	10	47	0.8	11	91	60
89	2	9	54	0.8	26	100	66
93	2	9	58	0.9	44	106	69
100	2	10	66	1.1	16	113	75
75	2	8	40	0.8	29	70	55
60	2	8	43	0.7	12	61	43
65	2	8	40	0.8	10	63	47
103	3	13	42	0.9	27	103	77
108	3	13	47	1	15	112	81
103	3	10	42	0.8	23	99	77
103	3	14	67	1	68	125	77
132	3	16	73	1	62	152	100
148	3	13	67	1.1	28	158	113
120	3	14	59	1	19	131	91
119	3	10	57	1	16	119	90
109	3	10	50	0.9	45	111	82
103	3	9	44	0.9	43	103	77
112	3	11	48	0.9	30	119	84
112	3	9	45	0.9	66	115	84
107	3	10	52	1	27	109	80
113	3	10	48	1.1	20	117	85
122	3	10	48	1.1	22	123	92
108	3	8	38	0.9	42	107	81
103	3	12	24	0.7	94	95	77
133	3	13	45	0.8	196	71	41
103	3	12	44	0.8	163	61	32
112	3	17	37	0.8	173	78	48
104	3	9	28	0.7	164	40	21
131	3	10	32	0.7	194	46	23
140	3	11	30	0.7	204	51	27
150	3	11	32	0.8	215	55	31
116	3	10	29	0.7	177	47	26
115	3	10	25	0.6	176	41	22
124	3	10	21	0.6	186	42	25
117	3	12	56	0.9	28	122	88
133	3	12	60	1.3	7	149	101
143	3	10	58	1.4	30	154	109
137	3	10	57	1.1	19	141	104
113	3	70	62	1.5	77	158	85
112	3	56	61	1.4	96	141	84
127	3	13	22	0.5	71	203	46
114	3	24	38	0.8	111	177	53
103	3	24	36	0.8	57	107	77
127	3	13	22	0.5	71	203	46
114	3	24	38	0.8	111	177	53
113	3	70	62	1.5	77	158	85
112	3	56	61	1.4	96	141	84
