aqi,so2,no2,co,o3,pm10,pm2_5,temp,humi,w_dir,wind,rain
47,19,17,0.5,66,47,27,1,41,45,2,0
46,20,18,0.5,65,46,24,1,47,45,2,0
48,19,19,0.5,62,48,28,0,52,45,2,0
48,22,20,0.6,59,48,28,1,53,45,2,0
54,23,19,0.6,60,57,36,1,54,0,2,0
53,21,18,0.6,61,55,34,1,51,0,2,0
51,23,18,0.6,58,52,30,0,50,0,2,0
52,24,18,0.6,53,53,33,0,55,0,2,0
56,22,14,0.6,57,61,39,0,58,0,2,0
54,20,14,0.6,58,58,38,0,56,0,2,0
54,18,13,0.6,59,57,37,0,55,0,2,0
53,15,12,0.5,64,56,37,0,49,0,2,0
50,13,10,0.5,67,50,31,0,51,0,2,0
47,14,10,0.5,66,47,30,0,51,0,2,0
47,14,11,0.5,64,47,31,-1,57,0,2,0
50,15,14,0.6,60,50,34,-1,69,225,2,0
51,16,20,0.6,50,52,34,-1,74,0,2,0
52,16,26,0.7,40,51,36,-1,81,45,2,0.1
53,19,30,0.8,36,50,37,-1,89,0,1,0.3
57,24,37,0.9,29,53,40,0,89,45,1,0.2
63,22,28,0.9,35,60,45,0,91,0,2,0.6
48,18,21,0.8,45,43,33,0,89,0,2,0
38,17,19,0.8,51,32,26,1,84,0,2,0
38,16,21,0.8,50,36,26,1,81,0,2,0
52,16,25,0.9,50,45,36,0,77,0,2,0
58,19,27,0.9,50,52,41,0,75,0,2,0
62,20,27,0.8,48,61,44,0,79,0,1,0
64,22,29,0.8,44,61,46,-1,80,225,1,0
67,22,30,0.8,41,63,48,-1,81,225,1,0
67,25,28,0.8,42,66,48,-1,79,225,1,0
65,21,24,0.8,47,65,47,0,76,225,1,0
64,21,23,0.7,48,66,46,0,76,0,1,0
63,21,23,0.7,47,65,45,-1,76,225,1,0
59,18,21,0.7,46,64,42,-1,76,270,1,0
57,19,22,0.7,44,61,40,-1,80,0,0,0
56,18,26,0.7,34,62,39,-2,86,125,1,0
58,21,29,0.8,27,61,41,-2,89,125,1,0
59,23,31,0.8,22,63,42,-2,89,0,0,0
63,26,39,0.9,14,65,45,-2,90,125,1,0
68,33,41,1.1,13,71,49,-1,86,125,1,0
73,45,43,1.1,21,83,53,2,68,180,1,0
87,46,43,1.1,33,102,64,4,62,315,1,0
85,47,42,1,45,110,63,7,46,180,2,0
83,35,34,0.7,60,113,61,9,28,180,2,0
73,23,22,0.6,76,95,47,11,25,180,3,0
59,17,18,0.5,87,68,29,11,20,180,3,0
57,15,18,0.4,90,64,24,11,18,180,3,0
56,14,20,0.4,82,62,21,10,20,180,3,0
56,17,26,0.5,74,61,19,9,19,180,2,0
55,27,41,0.6,54,59,21,7,23,125,2,0
58,44,57,0.9,29,66,26,6,28,125,2,0
67,80,64,1.2,22,84,38,4,34,180,2,0
85,68,61,1.1,21,119,52,4,35,180,2,0
84,64,60,1.1,18,117,49,4,38,125,2,0
89,70,58,1.1,17,127,55,3,41,180,2,0
79,78,55,1.2,16,107,54,2,44,315,1,0
88,70,52,1.2,16,126,54,1,57,0,1,0
80,66,47,1.1,17,110,54,1,67,0,0,0
78,61,44,1.1,17,105,52,0,71,0,0,0
70,59,45,1,16,89,47,0,73,0,1,0
67,48,44,0.9,15,84,46,-1,74,0,1,0
61,52,44,1.1,14,72,40,-1,77,0,0,0
64,61,47,1.3,13,77,43,-1,77,0,1,0
70,76,51,1.6,12,90,49,0,70,0,1,0
83,92,60,1.8,15,116,58,4,56,0,1,0
98,80,71,1.5,21,146,70,8,38,315,1,0
92,65,65,1.1,37,133,66,10,27,125,2,0
79,36,41,0.8,61,107,50,12,25,180,3,0
66,20,24,0.6,82,81,38,12,25,0,2,0
56,17,20,0.5,92,61,25,12,25,0,3,0
56,16,21,0.5,96,62,27,13,24,125,2,0
59,16,23,0.6,95,67,27,12,25,125,2,0
58,20,37,0.7,75,65,28,11,29,180,2,0
63,41,62,0.9,40,76,31,9,36,125,1,0
74,56,69,1.1,23,97,45,7,42,180,1,0
84,74,71,1.4,18,117,56,6,41,45,1,0
95,98,71,1.7,13,140,68,5,51,0,1,0
109,108,65,1.7,15,168,77,4,59,0,0,0
122,99,66,1.7,11,194,81,3,65,0,0,0
123,89,65,1.6,8,196,87,2,71,0,1,0
123,69,62,1.4,7,196,89,2,69,0,1,0
105,58,59,1.3,7,160,79,1,75,0,1,0
110,53,57,1.3,6,154,83,1,77,0,1,0
102,51,55,1.2,6,137,76,1,77,225,1,0
103,49,54,1.2,6,133,77,0,79,0,1,0
100,46,50,1.3,8,124,75,0,83,0,1,0
107,48,49,1.5,9,128,80,0,83,0,1,0
109,63,51,1.6,10,137,82,2,76,0,0,0
122,93,61,1.9,12,157,92,4,69,0,0,0
135,91,76,1.8,17,181,103,7,55,0,0,0
140,74,78,1.5,32,189,107,11,42,225,1,0
119,57,64,1.1,57,160,90,12,36,180,2,0
99,46,52,0.9,80,134,74,14,32,90,2,0
92,36,40,0.7,95,119,68,15,31,125,1,0
79,30,34,0.7,106,106,58,15,32,125,2,0
75,28,35,0.7,114,97,55,15,33,180,2,0
74,33,55,0.9,91,94,54,14,37,180,2,0
79,77,86,2,42,107,56,12,42,125,1,0
120,101,89,2.5,30,185,91,11,46,125,2,0
144,116,86,2.7,24,224,110,10,52,180,2,0
150,122,81,2.5,22,223,115,8,56,180,2,0
150,130,81,2.4,17,234,115,8,56,180,1,0
153,113,77,2.2,15,216,117,7,61,315,1,0
149,94,70,1.8,15,208,114,6,70,0,0,0
134,77,66,1.6,14,182,102,4,76,0,0,0
127,64,61,1.5,13,162,96,3,80,0,0,0
113,59,58,1.4,13,141,85,4,80,0,0,0
107,54,55,1.3,14,125,80,2,85,0,0,0
